name,type,address,evidence,description,X,Y
Ztore,網店,港鐵大埔墟站 A1 出口， 步行約10分鐘,https://lih.kg/1216420,,22.44429,114.170243
撈一番,食肆,大埔安泰路1號大埔廣場2樓,聽到店主話支持送中 然後買緊個客立即話唔買,,22.452909,114.170445
日溢中西美食,食肆,大埔寶湖里一號,反對示威者行為，支持送中,,22.4501205,114.1681204
溢泉茶餐廳,食肆,大埔同秀坊1號地舖,同紅橋餐廳同一老闆,,22.449008,114.168207
紅橋餐廳,食肆,大埔廣福道123號地舖,https://www.facebook.com/groups/TaipoTaipo/permalink/10162017490055245/?app=fbl,,22.448192,114.16837
翠河,食肆,大埔安慈路1號海寶花園10號舖,,,22.4533933,114.1667183
萬芳冰室,食肆,大埔寶湖道1號富盈門商場地下2號舖,紅底.民建聯集團,,22.4496045,114.1672979
陸宜居茶餐廳,食肆,大埔靖遠街43號,親耳聽到個廚同班中年客罵美國佬搞搞震,,22.449113,114.164964
新利大藥房,藥房,新界屯門鄉事會路94-110號康利中心地下21號舖,屯門街坊：頭先我同幾位朋友去圖中?新利大藥房詢問有沒有生理鹽水買，點知藥房個職員定唔知老細同我地態度好差咁講有都唔買俾我地，要買就俾身分證。我明白藥房係有權利唔買，但呢個係咩態度？  (Source :    https://www.facebook.com/587874824557675/posts/2577818358896635/    ,,22.397564,113.975137
榮式燒雞扒,食肆,屯隆街2號屯門時代廣場北翼地下25-26號舖,https://lihkg.com/thread/1215441/page/1,,22.3930316,113.9755675
喜運點心專門店,食肆,石門京瑞廣場一期喜運點心專門店地下30C附近,,,22.3876539,114.2080941
萌記牛什麵家,食肆,葵芳信芳路186號地下A1號舖,,,22.3578109,114.1298151
譚仔,食肆,馬鞍山廣場二樓266-268號舖,遊行完第二日聽班呀姐話後生仔收左錢，邊有一百萬咁多,,22.4257177,114.2311195
西記粥品,食肆,黃大仙環鳳街26號地舖,唔知係伙記定老闆娘，一路睇cctvb一路鬧示威者廢青。,,22.3437596,114.1982536
景霖廚房(前稱麥記),食肆,紅磡寶其利街73號A舖,69之前曾經親耳聽到樓面同收銀一日最衰都係佔中(2019年喇dllm仲佔中),,22.3068648,114.1859452
木蘭館,食肆,石硤尾偉智里1-3號白田購物中心地下5號舖,,,22.3349604,114.1669223
Lei Sure,食肆,油麻地眾坊街59號C舖,奶共cafe,,22.3099238,114.1690076
通達食店,食肆,香港旺角旺角花園街172號地下,https://lihkg.com/thread/1215706/page/1,,22.3222452,114.1707015
紅茶,食肆,旺角彌敦道594-596號地舖,12/6去食早餐親耳聽到個待應同其他伙記話我地班學生收?人錢今日又開工啦，搞亂香港，俾狗打抵死啦,,22.316221,114.1702936
紅磡冰室,食肆,香港尖沙咀金馬倫道38號,Rose Ma FB / IG,,22.2989946,114.1747523
新聯威茶餐廳,食肆,尖沙咀山林道18號,,,22.3025625,114.1730687
睿居酒屋,食肆,大坑安庶庇街6號,,,22.2790346,114.1920415
偉利模型,零售,灣仔 灣仔道221 ,,,22.2777525,114.1793154
喜記辣蟹,食肆,灣仔謝斐道379號,那有錢 你老母,,22.2800245,114.1797682
精英電器,零售,灣仔 汕頭街5-7,,,22.2752794,114.1714671
三葉屋,食肆,北角炮台山宏安道18號威徳閣地下8號舖,尋晚同朋友去完金鐘去食飯個侍應聽到隔離?講緊件事就大大聲講班學生收左錢搞事,,22.2883081,114.1919364
潮苑餐廳,食肆,西環石塘咀屈地街44號地下,,,22.286247,114.136455
皇后中西藥房有限公司,藥房,西營盤皇后大道西291號地舖,,,22.2870415,114.1424122
成興粥品,食肆,西環德輔道西408號地下D鋪,,,22.286549,114.136238
蓮園粥麵小廚,食肆,跑馬地成和道51A號地下D舖,個老闆娘同個大聲女人超大聲話學生收?特朗普錢，每人1800蚊。,,22.2685807,114.186549
Outback Steakhouse,食肆,銅鑼灣百德新街22-36號翡翠明珠廣場二樓,去遊行結果比老細炒？？ - 分享自 LIHKG 討論區 https://lih.kg/1204488,,22.2808808,114.1858639
樂心冰室,食肆,銅鑼灣渣甸街54-58號地下,尋日諗住休一休息去搵D野食，一班人?黑衫入去食食完走左之後先有朋友話聽到D員工細細聲同其他員工講話我地應該係金鐘過黎，仲聽到班員工傾計話金鐘班人比人打死就?架喇如果一早知班撚樣咁講野實即刻屌柒班垃圾侍應再拉隊走人 (當事人PO左IG 可以睇suen_momo ig),,22.2793349,114.1858059
灣仔文輝墨魚丸大王正宗潮州粉麵,食肆,銅鑼灣渣甸街22-24號,,,22.2797858,114.1850373
京城/京餃,食肆,?魚涌海光街4A-6號地下,餐廳侍應話學生抵死要拉哂佢地,,22.2881594,114.2107317
Bitters and Sweets,食肆,中環威靈頓街52-54號Somptueux Central 1樓,,,22.281856,114.1553265
